RecordType|CIFID|PremiumIndicator|CustomerClassification
FN|2284906|B|I
FN|2258052|B|C
FN|2313780|B|C
FN|0361738|B|B
FN|2508639|B|C
FN|2370164|B|C
FN|0204843|B|B
FN|2275404|B|C
FN|2519448|B|C
FN|2397075|B|C
FN|2155070|B|I
FN|2293854|B|C
FN|2415462|B|C
FN|2338032|B|B
FN|2407037|B|C
FN|2342663|B|I
FN|2514104|B|C
FN|2390363|B|C
FN|0214815|B|B
FN|2449477|B|C
FN|2463162|B|C
FN|2459933|B|C
FN|2419655|B|C
FN|2475958|B|C
FN|2479985|B|C
FN|2440848|B|C
FN|2161825|B|B
FN|2452797|B|B
FN|2469717|B|C
FN|2433541|B|C
FN|2433055|B|B
FN|2434976|B|C
FN|2456294|B|B
FN|2437441|B|C
FN|2466409|B|C
FN|2522619|B|B
FN|2456208|B|I
FN|2483945|B|C
FN|2552450|B|C
FN|2482984|B|C
FN|2537487|B|C
FN|2548905|B|B
FN|2491970|B|I
FN|2467117|B|C
FN|2496976|B|C
FN|2527502|B|C
FN|2592857|B|C
FN|2477681|B|C
FN|0331960|B|B
FN|2525332|B|C
FN|2495742|B|I
FN|2514760|B|C
FN|2544921|B|B
FN|2540818|B|C
FN|2539921|B|C
FN|2642628|B|C
FN|2600301|B|C
FN|2649381|B|C
FN|2568400|B|C
FN|2633145|B|C
FN|2646056|B|C
FN|2607466|B|C
FN|2665503|B|C
FN|2662515|B|C
FN|2665349|B|C
FN|2642533|B|C
FN|2665149|B|I
FN|2649943|B|C
FN|2636611|B|C
FN|2575678|B|C
FN|2660394|B|C
FN|2665506|B|C
FN|2657352|B|B
FN|2644241|B|C
FN|2650514|B|C
FN|2665282|B|C
FN|2620796|B|C
FN|2597627|B|C
FN|2520799|B|C
FN|2598918|B|C
FN|2658799|B|C
FN|2665418|B|C
FN|2660076|B|C
FN|2624559|B|C
FN|0459412|B|B
FN|1529683|B|B
FN|2594717|B|C
FN|2647575|B|I
FN|2651942|B|C
FN|2638559|B|C
FN|2636660|B|C
FN|2601291|B|C
FN|2665416|B|C
FN|2665420|B|C
FN|2665096|B|C
FN|2587626|B|C
FN|2644306|B|C
FN|2658785|B|C
FN|2586812|B|B
FN|2665468|B|C
FN|2650877|B|C
FN|2645371|B|C
FN|2661682|B|B
FN|2645913|B|C
FN|2662761|B|C
FN|0465824|B|C
FN|2638675|B|C
FN|2573347|B|C
FN|2665284|B|I
FN|2665150|B|I
FN|2599927|B|C
FN|2665500|B|C
FN|2665502|B|I
FN|2665431|B|C
FN|2665433|B|C
FN|2599478|B|C
FN|2602196|B|C
FN|2642756|B|C
